Date,Affected pages
2026-06-30,642
2026-07-01,531
2026-07-02,531
2026-07-03,531
2026-07-04,531
2026-07-05,531
2026-07-06,531
2026-07-07,531
2026-07-08,531
2026-07-09,531
2026-07-10,531
2026-07-11,480
2026-07-12,480
2026-07-13,480
2026-07-14,480
2026-07-15,480
2026-07-16,480
2026-07-17,480
2026-07-18,480
2026-07-19,480
2026-07-20,480
2026-07-21,480
2026-07-22,480
2026-07-23,480
2026-07-24,480
2026-07-25,483
2026-07-26,483
2026-07-27,483
2026-07-28,483
2026-07-29,483
2026-07-30,483
2026-07-31,483
2026-08-01,483
2026-08-02,483
2026-08-03,483
2026-08-04,483
2026-08-05,483
2026-08-06,482
2026-08-07,482
2026-08-08,483
2026-08-09,483
2026-08-10,483
2026-08-11,485
2026-08-12,485
2026-08-13,485
2026-08-14,485
2026-08-15,484
2026-08-16,484
2026-08-17,484
2026-08-18,481
2026-08-19,481
2026-08-20,481
2026-08-21,481
2026-08-22,479
2026-08-23,479
2026-08-24,479
2026-08-25,479
2026-08-26,479
2026-08-27,479
2026-08-28,479
2026-08-29,491
2026-08-30,491
2026-08-31,491
2026-09-01,491
2026-09-02,491
2026-09-03,491
2026-09-04,491
2026-09-05,539
2026-09-06,539
2026-09-07,539
2026-09-08,539
2026-09-09,539
2026-09-10,539
2026-09-11,539
2026-09-12,539
2026-09-13,539
2026-09-14,539
