Country,Clicks,Impressions,CTR,Position
ind,3041,74162,4.10%,7.2
bgd,612,25244,2.42%,8.5
are,393,7913,4.97%,6.7
usa,140,35844,0.39%,11.5
sau,131,4088,3.20%,7.8
pak,121,2760,4.38%,8.0
npl,100,4219,2.37%,8.1
kor,88,6980,1.26%,8.5
idn,73,6596,1.11%,8.6
gbr,67,4679,1.43%,8.4
qat,66,1472,4.48%,6.8
hkg,65,927,7.01%,9.3
mys,61,3760,1.62%,8.6
tur,49,2630,1.86%,8.8
fra,47,4351,1.08%,8.4
jpn,44,10174,0.43%,9.8
omn,42,893,4.70%,7.2
deu,40,12575,0.32%,8.4
can,39,3763,1.04%,8.9
kwt,36,958,3.76%,7.4
mex,35,6809,0.51%,9.2
bhr,28,591,4.74%,6.8
mar,27,1851,1.46%,9.1
esp,25,2314,1.08%,9.1
irn,24,580,4.14%,6.6
sgp,22,2403,0.92%,8.6
egy,20,1366,1.46%,8.7
rus,20,1010,1.98%,9.2
chn,18,1165,1.55%,8.1
twn,17,2595,0.66%,8.6
ita,15,5078,0.30%,8.6
mdv,15,465,3.23%,7.2
chl,14,1657,0.84%,9.1
lbn,13,1184,1.10%,9.2
nld,12,20942,0.06%,7.9
prt,12,947,1.27%,7.8
aus,11,1914,0.57%,8.5
bel,11,915,1.20%,8.5
lka,11,516,2.13%,7.6
ven,11,371,2.96%,7.3
per,10,1249,0.80%,9.1
irq,9,1292,0.70%,9.2
zaf,9,716,1.26%,8.9
bol,8,582,1.37%,9.1
col,8,2391,0.33%,9.1
bra,7,8480,0.08%,9.7
che,7,934,0.75%,8.5
dza,7,1531,0.46%,9.1
khm,7,327,2.14%,8.7
pan,7,493,1.42%,9.2
phl,7,881,0.79%,8.7
swe,7,742,0.94%,8.4
isr,6,933,0.64%,9.0
jor,6,685,0.88%,9.4
mlt,6,124,4.84%,7.3
nor,6,500,1.20%,8.2
syr,6,140,4.29%,7.0
vnm,6,2879,0.21%,8.9
gtm,5,776,0.64%,8.9
irl,5,452,1.11%,7.9
mmr,5,382,1.31%,8.7
rou,5,597,0.84%,8.2
tha,5,2075,0.24%,8.6
ukr,5,709,0.71%,9.2
uzb,5,785,0.64%,9.1
alb,4,248,1.61%,8.6
arg,4,5307,0.08%,9.2
aut,4,823,0.49%,8.4
cyp,4,182,2.20%,8.7
ecu,4,1120,0.36%,8.5
eth,4,289,1.38%,8.9
lby,4,337,1.19%,9.0
nic,4,290,1.38%,9.6
nzl,4,454,0.88%,9.2
pol,4,731,0.55%,8.0
tun,4,389,1.03%,9.4
tza,4,197,2.03%,8.6
bih,3,185,1.62%,8.9
brn,3,69,4.35%,7.9
cri,3,541,0.55%,9.0
cze,3,262,1.15%,8.1
grc,3,558,0.54%,8.6
hun,3,380,0.79%,8.2
mus,3,197,1.52%,8.4
uga,3,79,3.80%,8.1
ury,3,539,0.56%,9.5
bgr,2,302,0.66%,8.5
blr,2,119,1.68%,7.4
btn,2,119,1.68%,8.4
dnk,2,353,0.57%,8.1
dom,2,260,0.77%,9.7
fji,2,67,2.99%,8.0
gha,2,200,1.00%,8.2
hrv,2,221,0.90%,8.4
jam,2,362,0.55%,8.5
mkd,2,111,1.80%,8.8
mne,2,72,2.78%,8.7
mng,2,164,1.22%,8.4
nga,2,579,0.35%,8.8
png,2,43,4.65%,8.9
slb,2,135,1.48%,7.4
slv,2,299,0.67%,8.9
srb,2,327,0.61%,8.8
svk,2,141,1.42%,7.4
vut,2,54,3.70%,7.8
yem,2,460,0.43%,8.9
zmb,2,55,3.64%,8.0
abw,1,40,2.50%,8.5
arm,1,130,0.77%,9.0
bwa,1,22,4.55%,8.8
civ,1,114,0.88%,9.2
