Country,Clicks,Impressions,CTR,Position
usa,45,2312,1.95%,18.6
ind,18,805,2.24%,28.9
chn,12,84,14.29%,6.8
jpn,10,589,1.70%,17.0
esp,8,249,3.21%,20.6
nga,7,35,20.00%,8.3
fra,6,262,2.29%,20.0
kor,6,390,1.54%,8.2
pak,6,103,5.83%,29.8
bra,5,283,1.77%,8.3
hkg,5,84,5.95%,6.2
idn,5,394,1.27%,25.8
irn,5,120,4.17%,7.0
mex,5,347,1.44%,20.6
aus,4,154,2.60%,9.2
bgd,4,132,3.03%,45.5
gbr,4,328,1.22%,18.6
pan,4,23,17.39%,14.0
phl,4,472,0.85%,36.1
pol,4,72,5.56%,8.2
rus,4,388,1.03%,12.1
deu,3,251,1.20%,14.6
ecu,3,40,7.50%,12.2
mys,3,188,1.60%,34.4
twn,3,99,3.03%,6.5
zaf,3,42,7.14%,14.2
arg,2,95,2.11%,9.1
irl,2,13,15.38%,5.8
ita,2,85,2.35%,9.0
mar,2,96,2.08%,38.7
nld,2,79,2.53%,8.0
sau,2,87,2.30%,18.0
svk,2,15,13.33%,6.5
tun,2,18,11.11%,5.4
tur,2,258,0.78%,27.8
are,1,56,1.79%,9.8
aut,1,18,5.56%,6.3
chl,1,109,0.92%,9.5
col,1,75,1.33%,8.9
cri,1,11,9.09%,7.5
dnk,1,11,9.09%,5.3
dza,1,100,1.00%,30.4
egy,1,60,1.67%,11.6
eth,1,15,6.67%,7.2
grc,1,31,3.23%,15.2
hun,1,21,4.76%,7.3
irq,1,50,2.00%,7.4
isr,1,21,4.76%,14.7
kaz,1,100,1.00%,6.6
ken,1,16,6.25%,6.8
mdg,1,6,16.67%,5.5
mdv,1,4,25.00%,7.0
nor,1,21,4.76%,6.1
nzl,1,27,3.70%,13.7
rou,1,31,3.23%,10.8
sgp,1,84,1.19%,7.3
tgo,1,4,25.00%,7.3
uga,1,6,16.67%,4.7
ukr,1,95,1.05%,17.3
uzb,1,23,4.35%,6.2
zmb,1,1,100.00%,1.0
afg,0,6,0.00%,6.5
ago,0,1,0.00%,8.0
alb,0,11,0.00%,8.2
and,0,1,0.00%,8.0
arm,0,5,0.00%,4.0
aze,0,5,0.00%,5.2
bel,0,32,0.00%,7.8
bfa,0,1,0.00%,8.0
bgr,0,8,0.00%,8.1
bhr,0,2,0.00%,7.5
bih,0,5,0.00%,5.2
blr,0,18,0.00%,8.8
bmu,0,1,0.00%,4.0
bol,0,24,0.00%,8.0
brn,0,2,0.00%,8.5
btn,0,1,0.00%,4.0
bwa,0,4,0.00%,7.5
caf,0,1,0.00%,16.0
can,0,195,0.00%,9.6
che,0,20,0.00%,8.2
civ,0,5,0.00%,5.4
cmr,0,3,0.00%,3.0
cog,0,1,0.00%,7.0
cub,0,1,0.00%,6.0
cuw,0,1,0.00%,4.0
cyp,0,3,0.00%,3.0
cze,0,21,0.00%,7.1
dji,0,1,0.00%,2.0
dom,0,15,0.00%,8.5
esh,0,1,0.00%,11.0
est,0,8,0.00%,7.8
fin,0,22,0.00%,7.5
geo,0,9,0.00%,15.8
gha,0,5,0.00%,3.2
glp,0,2,0.00%,5.0
gtm,0,11,0.00%,8.3
hnd,0,7,0.00%,6.3
hrv,0,11,0.00%,8.2
hti,0,2,0.00%,8.0
isl,0,4,0.00%,8.5
jam,0,1,0.00%,9.0
jor,0,47,0.00%,48.4
kgz,0,9,0.00%,7.9
khm,0,7,0.00%,6.6
kwt,0,7,0.00%,8.1
lao,0,1,0.00%,5.0
lbn,0,7,0.00%,51.9
lbr,0,1,0.00%,7.0
lby,0,15,0.00%,7.5
lca,0,1,0.00%,6.0
lie,0,1,0.00%,6.0
lka,0,19,0.00%,7.1
lso,0,1,0.00%,4.0
ltu,0,11,0.00%,16.7
lux,0,1,0.00%,3.0
lva,0,2,0.00%,4.5
mac,0,5,0.00%,8.2
mda,0,4,0.00%,10.3
mkd,0,4,0.00%,5.8
mli,0,1,0.00%,5.0
mlt,0,1,0.00%,5.0
mmr,0,16,0.00%,7.9
mne,0,2,0.00%,9.0
mng,0,6,0.00%,6.2
moz,0,1,0.00%,9.0
mrt,0,4,0.00%,8.0
mus,0,4,0.00%,11.0
nam,0,1,0.00%,6.0
ncl,0,1,0.00%,8.0
ner,0,1,0.00%,4.0
nic,0,7,0.00%,34.6
npl,0,10,0.00%,7.6
omn,0,6,0.00%,7.0
per,0,95,0.00%,7.0
pri,0,8,0.00%,4.5
prt,0,18,0.00%,6.9
pry,0,9,0.00%,6.9
pse,0,2,0.00%,19.5
qat,0,12,0.00%,8.7
reu,0,1,0.00%,5.0
rwa,0,1,0.00%,3.0
sdn,0,9,0.00%,5.8
sen,0,4,0.00%,8.5
sle,0,1,0.00%,10.0
slv,0,13,0.00%,5.5
som,0,1,0.00%,7.0
srb,0,14,0.00%,4.9
svn,0,5,0.00%,7.2
swe,0,34,0.00%,6.9
syr,0,13,0.00%,6.5
tha,0,176,0.00%,22.0
tjk,0,4,0.00%,4.3
tkm,0,1,0.00%,20.0
tls,0,1,0.00%,6.0
tto,0,7,0.00%,8.3
ury,0,6,0.00%,6.8
ven,0,45,0.00%,20.3
vnm,0,173,0.00%,37.8
wsm,0,1,0.00%,5.0
xkk,0,2,0.00%,9.0
yem,0,3,0.00%,5.0
zwe,0,3,0.00%,4.7
