query,impressions,clicks,ctr,position,actual_url,actual_title,actual_score,best_url,best_title,best_score,gap,class,probe_leak
yellowstone mbti,71,0,0.00%,6.6,/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-lloyd-pierce,Lloyd Pierce — ISTP Ranch Hand MBTI Character Card,0.50,/nano-template/mbti-yellowstone,Yellowstone MBTI Character Card Generator,1.00,0.50,RIVAL_INDEXED,none
itachi mbti,42,0,0.00%,4.1,/nano-template/mbti-naruto,Naruto MBTI Character Card Generator,0.50,/nano-template/mbti-naruto/example/template-mbti-naruto-itachi,Itachi MBTI: Uchiha Akatsuki Personality Card (Naruto),1.00,0.50,RIVAL_UNRANKED,none
itachi uchiha mbti,26,0,0.00%,3.4,/nano-template/mbti-naruto,Naruto MBTI Character Card Generator,0.33,/nano-template/mbti-naruto/example/template-mbti-naruto-itachi,Itachi MBTI: Uchiha Akatsuki Personality Card (Naruto),1.00,0.67,RIVAL_UNRANKED,none
kevin durant mbti,18,0,0.00%,4.6,/nano-template/mbti-nba,MBTI NBA Basketball Card Generator,0.33,/nano-template/mbti-nba/example/template-mbti-nba-kevendurant,Kevin Durant — ENFP Scoring Machine MBTI Basketball Card,1.00,0.67,RIVAL_UNRANKED,none
shaq mbti,17,0,0.00%,4.6,/nano-template/mbti-nba/example/template-mbti-nba-shaquilleoneal,Shaquille O'Neal — ESFP Basketball Star MBTI Card,0.50,/nano-template/mbti-generic/example/template-mbti-generic-Basketball-Michael-Jordan-LeBron-James-Kawhi-Leonard-Shaquille-ONeal,"Basketball MBTI Comparison: Jordan, LeBron, Kawhi & Shaq",1.00,0.50,RIVAL_UNRANKED,none
ai sticker sheet prompt,13,0,0.00%,20.8,/blog/50-ai-sticker-design-prompts,"50+ AI Sticker Design Prompts: Die-Cut, Kiss-Cut, Overlay — Free Templates That Generate in One Click",0.50,/nano-template/vintage-watercolor-hobby-sticker-sheet,Vintage Watercolor Hobby Sticker Sheet,1.00,0.50,RIVAL_UNRANKED,none
rip wheeler mbti,12,0,0.00%,8.9,/nano-template/mbti-yellowstone,Yellowstone MBTI Character Card Generator,0.33,/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-ripwheeler,Rip Wheeler — ISTP Cowboy MBTI Character Card from Yellowstone,1.00,0.67,RIVAL_UNRANKED,none
kevin durant mbti,11,0,0.00%,4.5,/nano-template/mbti-nba/example/template-mbti-nba-michaeljordan,Michael Jordan — ISTP Mastery Basketball Card | MBTI NBA Template,0.33,/nano-template/mbti-nba/example/template-mbti-nba-kevendurant,Kevin Durant — ENFP Scoring Machine MBTI Basketball Card,1.00,0.67,RIVAL_UNRANKED,none
ai video dubbing,10,0,0.00%,83.0,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),0.50,/tools/video-dubbing,AI Video Dubbing Tool,1.00,0.50,RIVAL_INDEXED,title-in-markup+title-in-payload+desc-in-payload
yellowstone mbti,9,0,0.00%,8.8,/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-jimmy-hurdstrom,Jimmy Hurdstrom — INFP Cowboy MBTI Character Card,0.50,/nano-template/mbti-yellowstone,Yellowstone MBTI Character Card Generator,1.00,0.50,RIVAL_INDEXED,none
mbti yellowstone,6,0,0.00%,4.5,/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-lloyd-pierce,Lloyd Pierce — ISTP Ranch Hand MBTI Character Card,0.50,/nano-template/mbti-yellowstone,Yellowstone MBTI Character Card Generator,1.00,0.50,RIVAL_INDEXED,none
ai dubbing tools,4,0,0.00%,63.3,/tools/video-dubbing,AI Video Dubbing Tool,0.50,/blog/lip-sync-business-guide,AI Lip Sync & Dubbing Guide: Business Applications and Tools,1.00,0.50,RIVAL_INDEXED,title-in-payload+desc-in-markup+desc-in-payload
tim curry mbti,4,0,0.00%,4.0,/nano-template/mbti-generic,MBTI Character Visualization Generator,0.33,/nano-template/mbti-generic/example/template-mbti-generic-Basketball-Kobe-Bryant-Stephen-Curry-Kevin-Durant-Tim-Duncan,Kobe Bryant MBTI · Stephen Curry · Kevin Durant · Tim Duncan: NBA Legends,1.00,0.67,RIVAL_UNRANKED,
ai dub video,3,0,0.00%,79.3,/tools/video-dubbing,AI Video Dubbing Tool,0.50,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),1.00,0.50,RIVAL_INDEXED,
free video dub,3,0,0.00%,68.3,/tools/video-dubbing,AI Video Dubbing Tool,0.50,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),1.00,0.50,RIVAL_INDEXED,
how to make dubbing video,3,0,0.00%,56.7,/blog/ai-video-dubbing-tutorial,How to Dub Any Video with AI: A Step-by-Step Tutorial (2026),0.50,/tools/video-dubbing,AI Video Dubbing Tool,1.00,0.50,RIVAL_INDEXED,
hulk mbti,3,0,0.00%,3.3,/nano-template/mbti-marvel,MBTI Marvel Superhero Infographic Generator,0.50,/nano-template/mbti-marvel/example/template-mbti-marvel-marvel-hulk,Hulk — ENFP Personality MBTI Superhero Infographic,1.00,0.50,RIVAL_INDEXED,
kevin durant mbti,3,0,0.00%,5.0,/nano-template/mbti-nba,MBTI NBA Basketball Card Generator,0.33,/nano-template/mbti-nba/example/template-mbti-nba-kevendurant,Kevin Durant — ENFP Scoring Machine MBTI Basketball Card,1.00,0.67,RIVAL_UNRANKED,
ai dub videos,2,0,0.00%,74.0,/tools/video-dubbing,AI Video Dubbing Tool,0.00,/blog/how-to-dub-videos-naturally,How to Dub Videos Naturally in 2026: Fixing AI Voice Cloning Artifacts,1.00,1.00,RIVAL_INDEXED,
